symbol,date,open,high,low,close,volume,adjusted
VVAR3.SA,2014-01-01,7.51,8.5,6.26,6.72,12900,6.466571
VVAR3.SA,2014-02-01,6.7,7.45,6,6,2800,5.773725
VVAR3.SA,2014-03-01,6,7.5,4.78,6.63,56100,6.379966
VVAR3.SA,2014-04-01,6.63,7.61,6.63,7.6,27800,7.313385
VVAR3.SA,2014-05-01,7.6,8.4,7.1,8,24400,7.6983
VVAR3.SA,2014-06-01,8.42,8.45,6.51,7.21,10200,6.938093
VVAR3.SA,2014-07-01,7.6,8.5,6.21,7.11,19800,6.841864
VVAR3.SA,2014-08-01,7.11,7.5,6.72,7.5,2400,7.217156
VVAR3.SA,2014-09-01,7.5,8.5,7,7,3700,6.736012
VVAR3.SA,2014-10-01,7,7,7,7,0,6.736012
VVAR3.SA,2014-11-01,7,7.5,7,7.5,400,7.217156
VVAR3.SA,2014-12-01,7.5,7.5,5.13,6.8,1000,6.543556
VVAR3.SA,2015-01-01,6.8,7.38,6.8,7.38,2100,7.101682
VVAR3.SA,2015-02-01,7.38,7.7,7.38,7.7,100,7.409614
VVAR3.SA,2015-03-01,7.7,7.7,7.7,7.7,0,7.409614
VVAR3.SA,2015-04-01,7.7,7.7,5.37,5.38,900,5.177107
VVAR3.SA,2015-05-01,5.38,6.4,5.38,6.4,11700,6.362684
VVAR3.SA,2015-06-01,6.4,7,6.4,6.88,17400,6.839885
VVAR3.SA,2015-07-01,6.88,7.97,6.1,7.7,9200,7.655103
VVAR3.SA,2015-08-01,7.7,7.71,7.29,7.7,75000,7.655103
VVAR3.SA,2015-09-01,7.7,7.7,2.4,2.72,58700,2.70414
VVAR3.SA,2015-10-01,2.7,3.56,2.32,2.9,41500,2.883091
VVAR3.SA,2015-11-01,2.9,3.2,2.3,2.9,37000,2.883091
VVAR3.SA,2015-12-01,2.4,2.6,1.32,1.5,192100,1.491254
VVAR3.SA,2016-01-01,1.5,1.57,1.08,1.24,98300,1.23277
VVAR3.SA,2016-02-01,1.34,2.25,1.3,2.25,140200,2.236881
VVAR3.SA,2016-03-01,2.25,2.45,1.98,2.42,100900,2.40589
VVAR3.SA,2016-04-01,2.11,3,2.11,2.97,68500,2.952683
VVAR3.SA,2016-05-01,2.89,3.45,2.5,2.6,37000,2.585365
VVAR3.SA,2016-06-01,2.5,3.45,2.5,3.1,35300,3.082551
